step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
129,944584,1032,0.1403393979720005,1.0,1.0,,,,,,,,,
130,952016,1040,0.10651202405169309,0.625,0.625,,,,,,,,,
131,962008,1048,0.11668957824817931,0.625,0.625,,,,,,,,,
132,969632,1056,0.13213163741943268,0.625,0.625,,,,,,,,,
133,974952,1064,0.12884146319553905,0.875,0.875,,,,,,,,,
134,981808,1072,0.09127973205428604,1.0,1.0,,,,,,,,,
135,990328,1080,0.1282698364604861,0.625,0.625,,,,,,,,,
136,998464,1088,0.12244913798996203,0.75,0.75,0.14669892428139397,0.75,0.75,,,,,,
137,1008264,1096,0.07071985585254899,0.75,0.75,,,,,,,,,
138,1017744,1104,0.11619574714570195,0.75,0.75,,,,,,,,,
139,1025240,1112,0.08837189543639609,0.875,0.875,,,,,,,,,
140,1031840,1120,0.10468952918062181,0.625,0.625,,,,,,,,,
141,1041384,1128,0.11988915997596614,0.875,0.875,,,,,,,,,
142,1048112,1136,0.16937211140767783,0.5,0.5,,,,,,,,,
143,1053112,1144,0.11623099177499353,0.875,0.875,,,,,,,,,
144,1061824,1152,0.1276457666324054,0.625,0.625,,,,,,,,,
145,1075464,1160,0.08202321204595316,0.75,0.75,,,,,,,,,
146,1083600,1168,0.1301955171124985,0.875,0.875,,,,,,,,,
147,1088728,1176,0.13125467183659387,0.625,0.625,,,,,,,,,
148,1098592,1184,0.12443433870852236,0.875,0.875,,,,,,,,,
149,1106856,1192,0.09875929999880904,0.75,0.75,,,,,,,,,
150,1121776,1200,0.06003525097736846,0.25,0.25,,,,,,,,,
151,1126712,1208,0.13220219167494812,0.875,0.875,,,,,,,,,
152,1130432,1216,0.1536343497453056,0.5,0.5,,,,,,,,,
153,1136520,1224,0.15733625566452158,0.625,0.625,,,,,,,,,
154,1149520,1232,0.1252293264243578,1.0,1.0,,,,,,,,,
155,1157848,1240,0.11982095081061468,0.75,0.75,,,,,,,,,
156,1163680,1248,0.17716178851054362,0.75,0.75,,,,,,,,,
157,1170664,1256,0.12929676992854464,0.75,0.75,,,,,,,,,
158,1180720,1264,0.09036266727968234,0.5,0.5,,,,,,,,,
159,1187320,1272,0.08109562169639171,0.5,0.5,,,,,,,,,
160,1196224,1280,0.11613181344310534,0.5,0.5,,,,,,,,,
161,1201992,1288,0.1002266587952338,0.625,0.625,,,,,,,,,
162,1208976,1296,0.15688572579279064,1.0,1.0,,,,,,,,,
163,1217368,1304,0.12014286406333224,0.625,0.625,,,,,,,,,
164,1225760,1312,0.15275035164583647,0.5,0.5,,,,,,,,,
165,1238952,1320,0.08513502887551322,1.0,1.0,,,,,,,,,
166,1244912,1328,0.11493668590263154,0.875,0.875,,,,,,,,,
167,1250744,1336,0.14398094090386296,0.875,0.875,,,,,,,,,
168,1256448,1344,0.11488872667013562,0.375,0.375,,,,,,,,,
169,1262280,1352,0.11795498418757959,0.625,0.625,,,,,,,,,
170,1271312,1360,0.11683722981002476,0.625,0.625,,,,,,,,,
171,1284696,1368,0.11027659476455949,1.0,1.0,,,,,,,,,
172,1290016,1376,0.19503308079098333,0.625,0.625,,,,,,,,,
173,1295080,1384,0.15498519547114195,1.0,1.0,,,,,,,,,
174,1306032,1392,0.140568979600814,0.5,0.5,,,,,,,,,
175,1313464,1400,0.12541700178221427,0.75,0.75,,,,,,,,,
176,1322880,1408,0.08763649822305956,0.875,0.875,,,,,,,,,
177,1333832,1416,0.10301541894437889,0.875,0.875,,,,,,,,,
178,1340624,1424,0.14212307983830072,0.5,0.5,,,,,,,,,
179,1348504,1432,0.12597353291805252,0.875,0.875,,,,,,,,,
180,1355040,1440,0.1786720328075116,0.875,0.875,,,,,,,,,
181,1363816,1448,0.11137941693593328,0.75,0.75,,,,,,,,,
182,1368752,1456,0.13058311875438341,0.875,0.875,,,,,,,,,
183,1374392,1464,0.14520605897767824,0.5,0.5,,,,,,,,,
184,1381248,1472,0.11526041969449932,0.875,0.875,,,,,,,,,
185,1387976,1480,0.16050472699827184,0.875,0.875,,,,,,,,,
186,1393936,1488,0.14324783185065998,0.5,0.5,,,,,,,,,
187,1401048,1496,0.16113259228848892,0.625,0.625,,,,,,,,,
188,1406432,1504,0.12780012104079574,0.75,0.75,,,,,,,,,
189,1410536,1512,0.11427854137182683,0.625,0.625,,,,,,,,,
190,1417520,1520,0.08785238085959188,0.625,0.625,,,,,,,,,
191,1421560,1528,0.20933483024522126,0.5,0.5,,,,,,,,,
192,1427712,1536,0.15687205749369557,0.875,0.875,,,,,,,,,
193,1443272,1544,0.08531757389971974,1.0,1.0,,,,,,,,,
194,1449168,1552,0.09805189285257827,0.375,0.375,,,,,,,,,
195,1460248,1560,0.1283892161989252,0.625,0.625,,,,,,,,,
196,1466464,1568,0.1389813809821321,0.375,0.375,,,,,,,,,
197,1472232,1576,0.17226999279454983,0.875,0.875,,,,,,,,,
198,1478256,1584,0.13822885284273184,1.0,1.0,,,,,,,,,
199,1483512,1592,0.15515178825213763,1.0,1.0,,,,,,,,,
200,1488640,1600,0.14993531094217402,0.75,0.75,,,,,,,,,
201,1492936,1608,0.1126556435589236,0.75,0.75,,,,,,,,,
202,1500368,1616,0.15482768009095896,0.875,0.875,,,,,,,,,
203,1509528,1624,0.11538592273719848,0.75,0.75,0.16186235340447833,0.875,0.875,,,,,,
204,1524512,1632,0.0767789731356527,1.0,1.0,,,,,,,,,
205,1529832,1640,0.16540990170272632,0.75,0.75,,,,,,,,,
206,1536048,1648,0.16008443654263327,1.0,1.0,,,,,,,,,
207,1546744,1656,0.10331079861751123,0.5,0.5,,,,,,,,,
208,1554368,1664,0.12014130297880954,0.875,0.875,,,,,,,,,
209,1561928,1672,0.1223280934393992,0.875,0.875,,,,,,,,,
210,1569552,1680,0.11154133605771471,0.625,0.625,,,,,,,,,
211,1577944,1688,0.11064946335786109,0.625,0.625,,,,,,,,,
212,1586144,1696,0.13475239347276644,0.75,0.75,,,,,,,,,
213,1595624,1704,0.07108446954691844,0.75,0.75,,,,,,,,,
214,1605872,1712,0.11193317976661024,0.75,0.75,,,,,,,,,
215,1610424,1720,0.13489823606384257,0.625,0.625,,,,,,,,,
216,1616192,1728,0.1187710171382945,0.875,0.875,,,,,,,,,
217,1622536,1736,0.13742126498573515,0.5,0.5,,,,,,,,,
218,1629264,1744,0.10973895692162398,0.625,0.625,,,,,,,,,
219,1644120,1752,0.11429564379843193,0.75,0.75,,,,,,,,,
220,1648160,1760,0.12246971179946645,0.75,0.75,,,,,,,,,
221,1655016,1768,0.13011194365224113,0.875,0.875,,,,,,,,,
222,1662320,1776,0.12680389481353632,0.75,0.75,,,,,,,,,
223,1670264,1784,0.11722361726683024,1.0,1.0,,,,,,,,,
224,1676992,1792,0.11575106700748276,0.75,0.75,,,,,,,,,
225,1683784,1800,0.12056428797235914,0.875,0.875,,,,,,,,,
226,1692752,1808,0.14321174184589128,0.75,0.75,,,,,,,,,
227,1700696,1816,0.15199480849989078,0.625,0.625,,,,,,,,,
228,1706592,1824,0.14993401467980652,0.875,0.875,,,,,,,,,
229,1719464,1832,0.0968221317415414,0.875,0.875,,,,,,,,,
230,1725424,1840,0.11975084257206783,0.625,0.625,,,,,,,,,
231,1729720,1848,0.14200362177623482,0.875,0.875,,,,,,,,,
232,1737984,1856,0.10775636768766975,0.625,0.625,,,,,,,,,
233,1742472,1864,0.19060103795538766,0.625,0.625,,,,,,,,,
